,Trial,Method,Time
0,0,RESIT,4.897242561999519
1,1,RESIT,4.972449836999658
2,2,RESIT,4.838430734000212
3,3,RESIT,4.906948358000591
4,4,RESIT,4.890202493001198
5,5,RESIT,4.999167414000112
6,6,RESIT,4.796576830000049
7,7,RESIT,4.96158015400033
8,8,RESIT,5.082801451000705
9,9,RESIT,4.785079131999737
10,0,SCORE,1.5082997900008195
11,1,SCORE,1.4016509220000444
12,2,SCORE,1.399751536999247
13,3,SCORE,1.441150803999335
14,4,SCORE,1.2360976270010724
15,5,SCORE,1.2270835409999563
16,6,SCORE,1.2387972169999557
17,7,SCORE,1.3494629800006805
18,8,SCORE,1.2812888139997085
19,9,SCORE,1.2881571380003152
20,0,NPVar,0.5516340880003554
21,1,NPVar,0.5555436380000174
22,2,NPVar,0.5517052390005119
23,3,NPVar,0.5522107790002337
24,4,NPVar,0.5574441299995669
25,5,NPVar,0.5528599899989786
26,6,NPVar,0.5760692599997128
27,7,NPVar,0.5541994550003437
28,8,NPVar,0.5625328719997924
29,9,NPVar,0.5575455380003405
0,0,AbPNLMulti,577.3379882849995
1,1,AbPNLMulti,509.02232673100025
2,2,AbPNLMulti,417.7250692200005
3,3,AbPNLMulti,434.58604967300016
4,4,AbPNLMulti,422.9675101309995
5,5,AbPNLMulti,430.9395422630005
6,6,AbPNLMulti,431.2578951129999
7,7,AbPNLMulti,456.12750573999983
8,8,AbPNLMulti,436.4506434699997
9,9,AbPNLMulti,444.7181399410001
0,0,OursMulti,83.30540817000019
1,1,OursMulti,91.88879427200027
2,2,OursMulti,94.75868025700038
3,3,OursMulti,90.11228775999916
4,4,OursMulti,93.7113366929998
5,5,OursMulti,88.1898691080005
6,6,OursMulti,89.72573135199946
7,7,OursMulti,86.81608662899998
8,8,OursMulti,86.66687890100002
9,9,OursMulti,92.22356077899985
